k,p,seed,sample_index,outcome,onset_step,direction,steps_simulated
5,0.1,20260919,135,certified,6210,"-x,+y",8394
5,0.1,20260919,136,certified,15377,"-x,-y",17561
5,0.1,20260919,137,certified,2638,"+x,+y",4822
5,0.1,20260919,138,certified,11384,"+x,-y",14159
5,0.1,20260919,139,certified,262,"+x,-y",2446
5,0.1,20260919,140,certified,314,"+x,-y",2498
5,0.1,20260919,141,certified,912,"+x,+y",3096
5,0.1,20260919,142,certified,19375,"-x,-y",21559
5,0.1,20260919,143,certified,857,"-x,-y",3041
5,0.1,20260919,144,certified,4572,"-x,+y",6756
5,0.1,20260919,145,certified,4106,"-x,+y",6290
5,0.1,20260919,146,certified,1206,"+x,-y",3390
5,0.1,20260919,147,certified,1239,"+x,+y",3423
5,0.1,20260919,148,certified,310,"-x,+y",2494
5,0.1,20260919,149,certified,9976,"+x,-y",12335
5,0.1,20260919,150,certified,310,"-x,+y",2494
5,0.1,20260919,151,certified,269,"-x,-y",2453
5,0.1,20260919,152,certified,9977,"-x,-y",12336
5,0.1,20260919,153,certified,1148,"+x,-y",3332
5,0.1,20260919,154,certified,269,"-x,-y",2453
5,0.1,20260919,155,certified,799,"-x,-y",2983
5,0.1,20260919,156,certified,1367,"+x,+y",3551
5,0.1,20260919,157,certified,289,"+x,+y",2473
5,0.1,20260919,158,certified,2506,"-x,-y",4690
5,0.1,20260919,159,certified,10820,"-x,+y",13004
5,0.1,20260919,160,certified,896,"+x,+y",3080
5,0.1,20260919,161,certified,6883,"+x,+y",9112
5,0.1,20260919,162,certified,310,"-x,+y",2494
5,0.1,20260919,163,certified,9977,"-x,-y",12336
5,0.1,20260919,164,certified,4950,"-x,+y",7134
5,0.1,20260919,165,certified,1866,"+x,+y",4050
5,0.1,20260919,166,certified,4953,"-x,+y",7137
5,0.1,20260919,167,certified,6225,"+x,+y",8409
5,0.1,20260919,168,certified,1617,"+x,-y",3801
5,0.1,20260919,169,certified,9434,"-x,+y",11618
5,0.1,20260919,170,certified,19375,"-x,-y",21559
5,0.1,20260919,171,certified,967,"+x,-y",3151
5,0.1,20260919,172,certified,11327,"-x,-y",13513
5,0.1,20260919,173,certified,2224,"-x,+y",4408
5,0.1,20260919,174,certified,1109,"+x,+y",3293
5,0.1,20260919,175,certified,9977,"-x,-y",12336
5,0.1,20260919,176,certified,1617,"+x,-y",3801
5,0.1,20260919,177,certified,590,"-x,-y",2774
5,0.1,20260919,178,certified,686,"-x,-y",2870
5,0.1,20260919,179,certified,6602,"-x,-y",8786
5,0.1,20260919,180,certified,9383,"-x,-y",11567
5,0.1,20260919,181,certified,1438,"+x,+y",3622
5,0.1,20260919,182,certified,6954,"-x,-y",9138
5,0.1,20260919,183,certified,1826,"+x,-y",4010
5,0.1,20260919,184,certified,2451,"+x,+y",4635
5,0.1,20260919,185,certified,11383,"+x,+y",14158
5,0.1,20260919,186,certified,24377,"-x,+y",26565
5,0.1,20260919,187,certified,12184,"-x,-y",14369
5,0.1,20260919,188,certified,1007,"+x,-y",3191
5,0.1,20260919,189,certified,3253,"-x,-y",5437
5,0.1,20260919,190,certified,11384,"+x,-y",14159
5,0.1,20260919,191,certified,334,"-x,+y",2518
5,0.1,20260919,192,certified,4164,"-x,-y",6348
5,0.1,20260919,193,certified,542,"+x,-y",2726
5,0.1,20260919,194,certified,568,"+x,-y",2752
5,0.1,20260919,195,certified,470,"+x,-y",2654
5,0.1,20260919,196,certified,944,"-x,+y",3128
5,0.1,20260919,197,certified,3388,"-x,+y",5572
5,0.1,20260919,198,certified,2776,"+x,+y",4960
5,0.1,20260919,199,certified,2813,"-x,+y",4997
5,0.1,20260919,200,certified,3250,"-x,+y",5434
5,0.1,20260919,201,certified,1301,"-x,-y",3485
5,0.1,20260919,202,certified,6768,"+x,-y",8968
5,0.1,20260919,203,certified,635,"-x,-y",2819
5,0.1,20260919,204,certified,9382,"-x,+y",11566
5,0.1,20260919,205,certified,2372,"-x,-y",4556
5,0.1,20260919,206,certified,2056,"+x,+y",4240
5,0.1,20260919,207,certified,313,"-x,-y",2497
5,0.1,20260919,208,certified,2398,"+x,-y",4582
5,0.1,20260919,209,certified,4174,"+x,+y",6358
5,0.1,20260919,210,certified,956,"+x,-y",3140
5,0.1,20260919,211,certified,3120,"-x,+y",5304
5,0.1,20260919,212,certified,11735,"-x,-y",13919
5,0.1,20260919,213,certified,2035,"-x,+y",4219
5,0.1,20260919,214,certified,5813,"+x,-y",7997
5,0.1,20260919,215,certified,1354,"+x,-y",3538
5,0.1,20260919,216,certified,508,"-x,-y",2692
5,0.1,20260919,217,certified,3358,"-x,+y",5542
5,0.1,20260919,218,certified,2778,"-x,+y",4962
5,0.1,20260919,219,certified,953,"-x,-y",3137
5,0.1,20260919,220,certified,2122,"-x,+y",4306
5,0.1,20260919,221,certified,282,"-x,+y",2466
5,0.1,20260919,222,certified,19375,"-x,-y",21559
5,0.1,20260919,223,certified,2122,"-x,+y",4306
5,0.1,20260919,224,certified,5676,"+x,-y",7860
5,0.1,20260919,225,certified,3727,"-x,+y",5911
5,0.1,20260919,226,certified,1301,"+x,+y",3485
5,0.1,20260919,227,certified,2778,"-x,+y",4962
5,0.1,20260919,228,certified,5032,"+x,-y",7216
5,0.1,20260919,229,certified,359,"-x,-y",2543
5,0.1,20260919,230,certified,543,"-x,+y",2727
5,0.1,20260919,231,certified,2640,"-x,-y",4824
5,0.1,20260919,232,certified,1148,"+x,-y",3332
5,0.1,20260919,233,certified,2342,"-x,+y",4526
5,0.1,20260919,234,certified,5421,"-x,-y",7605
5,0.1,20260919,235,certified,11955,"-x,+y",14139
5,0.1,20260919,236,certified,2777,"-x,-y",4961
5,0.1,20260919,237,certified,1040,"-x,-y",3224
5,0.1,20260919,238,certified,33097,"-x,-y",35281
5,0.1,20260919,239,certified,2801,"+x,+y",4985
5,0.1,20260919,240,certified,2888,"+x,+y",5072
5,0.1,20260919,241,certified,5758,"+x,-y",7942
5,0.1,20260919,242,certified,7156,"-x,-y",9340
5,0.1,20260919,243,certified,896,"+x,+y",3080
5,0.1,20260919,244,certified,419,"+x,-y",2603
5,0.1,20260919,245,certified,9382,"-x,+y",11566
5,0.1,20260919,246,certified,4460,"-x,+y",6644
5,0.1,20260919,247,certified,4871,"-x,-y",7055
5,0.1,20260919,248,certified,528,"+x,+y",2712
5,0.1,20260919,249,certified,9977,"-x,-y",12336
5,0.1,20260919,250,certified,310,"-x,+y",2494
5,0.1,20260919,251,certified,9977,"-x,-y",12336
5,0.1,20260919,252,certified,1133,"-x,+y",3317
5,0.1,20260919,253,certified,1240,"-x,+y",3424
5,0.1,20260919,254,certified,1874,"-x,-y",4058
5,0.1,20260919,255,certified,3140,"+x,-y",5324
5,0.1,20260919,256,certified,343,"-x,-y",2527
5,0.1,20260919,257,certified,3112,"+x,+y",5296
5,0.1,20260919,258,certified,4494,"-x,+y",6678
5,0.1,20260919,259,certified,4856,"-x,-y",7040
5,0.1,20260919,260,certified,1013,"+x,-y",3197
5,0.1,20260919,261,certified,671,"-x,-y",2855
5,0.1,20260919,262,certified,2179,"-x,-y",4363
5,0.1,20260919,263,certified,5329,"-x,-y",7513
5,0.1,20260919,264,certified,4106,"-x,+y",6290
5,0.1,20260919,265,certified,13687,"+x,+y",16456
5,0.1,20260919,266,certified,22019,"+x,-y",24383
5,0.1,20260919,267,certified,601,"-x,-y",2785
5,0.1,20260919,268,certified,1689,"-x,+y",3873
5,0.1,20260919,269,certified,2713,"+x,-y",4897
5,0.1,20260919,270,certified,349,"-x,-y",2533
5,0.1,20260919,271,certified,1789,"-x,-y",3973
5,0.1,20260919,272,certified,2652,"+x,-y",4836
5,0.1,20260919,273,certified,9977,"-x,-y",12336
5,0.1,20260919,274,certified,11384,"+x,-y",14159
5,0.1,20260919,275,certified,357,"-x,-y",2541
5,0.1,20260919,276,certified,10759,"+x,+y",12943
5,0.1,20260919,277,certified,481,"-x,+y",2665
5,0.1,20260919,278,certified,3946,"-x,-y",6130
5,0.1,20260919,279,certified,1965,"-x,-y",4149
5,0.1,20260919,280,certified,1887,"-x,-y",4071
5,0.1,20260919,281,certified,2172,"-x,-y",4356
5,0.1,20260919,282,certified,18857,"+x,-y",21041
5,0.1,20260919,283,certified,3776,"+x,-y",5960
5,0.1,20260919,284,certified,9977,"-x,-y",12336
5,0.1,20260919,285,certified,1923,"+x,+y",4107
5,0.1,20260919,286,certified,328,"-x,+y",2512
5,0.1,20260919,287,certified,5523,"+x,-y",7707
5,0.1,20260919,288,certified,2122,"-x,+y",4306
5,0.1,20260919,289,certified,896,"+x,+y",3080
5,0.1,20260919,290,certified,8531,"-x,+y",10715
5,0.1,20260919,291,certified,6610,"-x,-y",8794
5,0.1,20260919,292,certified,8308,"+x,-y",10492
5,0.1,20260919,293,certified,394,"+x,-y",2578
5,0.1,20260919,294,certified,9977,"-x,-y",12336
5,0.1,20260919,295,certified,46180,"-x,+y",50354
5,0.1,20260919,296,certified,5758,"+x,-y",7942
5,0.1,20260919,297,certified,7863,"-x,+y",10047
5,0.1,20260919,298,certified,923,"+x,+y",3107
5,0.1,20260919,299,certified,2718,"+x,-y",4902
5,0.1,20260919,300,certified,12099,"+x,+y",14283
5,0.1,20260919,301,certified,1135,"+x,+y",3319
5,0.1,20260919,302,certified,9977,"-x,-y",12336
5,0.1,20260919,303,certified,2635,"+x,-y",4819
5,0.1,20260919,304,certified,321,"+x,+y",2505
5,0.1,20260919,305,certified,272,"-x,+y",2456
5,0.1,20260919,306,certified,848,"-x,-y",3032
5,0.1,20260919,307,certified,319,"+x,+y",2503
5,0.1,20260919,308,certified,296,"-x,+y",2480
5,0.1,20260919,309,certified,588,"+x,-y",2772
5,0.1,20260919,310,certified,7861,"+x,-y",10045
5,0.1,20260919,311,certified,9977,"-x,-y",12336
5,0.1,20260919,312,certified,5758,"+x,-y",7942
5,0.1,20260919,313,certified,1013,"+x,-y",3197
5,0.1,20260919,314,certified,1588,"-x,+y",3772
5,0.1,20260919,315,certified,1148,"+x,-y",3332
5,0.1,20260919,316,certified,9977,"-x,-y",12336
5,0.1,20260919,317,certified,9977,"-x,-y",12336
5,0.1,20260919,318,certified,1716,"+x,-y",3900
5,0.1,20260919,319,certified,680,"-x,-y",2864
5,0.1,20260919,320,certified,2543,"-x,+y",4727
5,0.1,20260919,321,certified,870,"-x,+y",3054
5,0.1,20260919,322,certified,405,"-x,-y",2589
5,0.1,20260919,323,certified,1213,"-x,+y",3397
5,0.1,20260919,324,certified,9977,"-x,-y",12336
5,0.1,20260919,325,certified,4559,"+x,+y",6743
5,0.1,20260919,326,certified,2946,"-x,-y",5130
5,0.1,20260919,327,certified,9873,"+x,+y",12057
5,0.1,20260919,328,certified,9976,"+x,-y",12335
5,0.1,20260919,329,certified,19375,"-x,-y",21559
5,0.1,20260919,330,certified,9784,"+x,-y",11968
5,0.1,20260919,331,certified,887,"-x,-y",3071
5,0.1,20260919,332,certified,769,"+x,+y",2953
5,0.1,20260919,333,certified,842,"-x,+y",3026
5,0.1,20260919,334,certified,1307,"+x,-y",3491
5,0.1,20260919,335,certified,9810,"-x,-y",11994
5,0.1,20260919,336,certified,2778,"-x,+y",4962
5,0.1,20260919,337,certified,676,"-x,+y",2860
5,0.1,20260919,338,certified,271,"+x,+y",2455
5,0.1,20260919,339,certified,2383,"+x,+y",4567
5,0.1,20260919,340,certified,330,"-x,+y",2514
5,0.1,20260919,341,certified,297,"-x,-y",2481
5,0.1,20260919,342,certified,262,"+x,-y",2446
5,0.1,20260919,343,certified,896,"+x,+y",3080
5,0.1,20260919,344,certified,469,"-x,-y",2653
5,0.1,20260919,345,certified,19375,"-x,-y",21559
5,0.1,20260919,346,certified,4323,"-x,-y",6507
5,0.1,20260919,347,certified,4102,"+x,-y",6286
5,0.1,20260919,348,certified,2555,"+x,+y",4739
5,0.1,20260919,349,certified,5758,"+x,-y",7942
5,0.1,20260919,350,certified,901,"-x,-y",3085
5,0.1,20260919,351,certified,800,"+x,+y",2984
5,0.1,20260919,352,certified,5959,"-x,-y",8143
5,0.1,20260919,353,certified,3509,"-x,+y",5693
5,0.1,20260919,354,certified,4508,"-x,+y",6692
5,0.1,20260919,355,certified,19375,"-x,-y",21559
5,0.1,20260919,356,certified,2617,"-x,-y",4801
5,0.1,20260919,357,certified,9977,"-x,-y",12336
5,0.1,20260919,358,certified,2122,"-x,+y",4306
5,0.1,20260919,359,certified,995,"+x,+y",3179
5,0.1,20260919,360,certified,851,"+x,+y",3035
5,0.1,20260919,361,certified,20251,"-x,+y",22435
5,0.1,20260919,362,certified,868,"-x,+y",3052
5,0.1,20260919,363,certified,9977,"-x,-y",12336
5,0.1,20260919,364,certified,1207,"+x,+y",3391
5,0.1,20260919,365,certified,1113,"+x,+y",3297
5,0.1,20260919,366,certified,2801,"+x,+y",4985
5,0.1,20260919,367,certified,398,"-x,+y",2582
5,0.1,20260919,368,certified,217,"+x,+y",2401
5,0.1,20260919,369,certified,1107,"-x,-y",3291
5,0.1,20260919,370,certified,1206,"+x,-y",3390
5,0.1,20260919,371,certified,896,"+x,+y",3080
5,0.1,20260919,372,certified,1307,"+x,-y",3491
5,0.1,20260919,373,certified,684,"-x,-y",2868
5,0.1,20260919,374,certified,6768,"+x,-y",8968
5,0.1,20260919,375,certified,1350,"-x,-y",3534
5,0.1,20260919,376,certified,13067,"+x,+y",15251
5,0.1,20260919,377,certified,15492,"+x,-y",17676
5,0.1,20260919,378,certified,315,"-x,-y",2499
5,0.1,20260919,379,certified,1239,"+x,+y",3423
5,0.1,20260919,380,certified,5841,"-x,-y",8025
5,0.1,20260919,381,certified,9977,"-x,-y",12336
5,0.1,20260919,382,certified,3147,"+x,+y",5331
5,0.1,20260919,383,certified,1240,"-x,+y",3424
5,0.1,20260919,384,certified,1628,"+x,+y",3812
5,0.1,20260919,385,certified,5891,"+x,-y",8137
5,0.1,20260919,386,certified,2876,"-x,+y",5063
5,0.1,20260919,387,certified,262,"+x,-y",2446
5,0.1,20260919,388,certified,787,"+x,+y",2971
5,0.1,20260919,389,certified,270,"+x,-y",2454
5,0.1,20260919,390,certified,289,"-x,-y",2473
5,0.1,20260919,391,certified,1464,"+x,-y",3648
5,0.1,20260919,392,certified,1256,"+x,-y",3440
5,0.1,20260919,393,certified,2337,"+x,+y",4521
5,0.1,20260919,394,certified,4106,"-x,+y",6290
5,0.1,20260919,395,certified,5166,"+x,+y",7350
5,0.1,20260919,396,certified,264,"-x,+y",2448
5,0.1,20260919,397,certified,20702,"-x,+y",22957
5,0.1,20260919,398,certified,1307,"+x,-y",3491
5,0.1,20260919,399,certified,9977,"-x,-y",12336
5,0.1,20260919,400,certified,3841,"+x,+y",6025
5,0.1,20260919,401,certified,215,"+x,+y",2399
5,0.1,20260919,402,certified,684,"-x,-y",2868
5,0.1,20260919,403,certified,2800,"-x,+y",4984
5,0.1,20260919,404,certified,6987,"-x,-y",9171
5,0.1,20260919,405,certified,895,"+x,+y",3079
5,0.1,20260919,406,certified,7304,"+x,+y",9488
5,0.1,20260919,407,certified,896,"+x,+y",3080
5,0.1,20260919,408,certified,1050,"+x,-y",3234
5,0.1,20260919,409,certified,270,"+x,-y",2454
5,0.1,20260919,410,certified,2415,"-x,-y",4599
5,0.1,20260919,411,certified,713,"+x,+y",2897
5,0.1,20260919,412,certified,5758,"+x,-y",7942
5,0.1,20260919,413,certified,6803,"+x,-y",8987
5,0.1,20260919,414,certified,9975,"+x,+y",12334
5,0.1,20260919,415,certified,9977,"-x,-y",12336
5,0.1,20260919,416,certified,39246,"+x,+y",41430
5,0.1,20260919,417,certified,2775,"+x,+y",4959
5,0.1,20260919,418,certified,361,"+x,+y",2545
5,0.1,20260919,419,certified,310,"-x,+y",2494
5,0.1,20260919,420,certified,262,"+x,-y",2446
5,0.1,20260919,421,certified,410,"+x,-y",2594
5,0.1,20260919,422,certified,1239,"+x,+y",3423
5,0.1,20260919,423,certified,1617,"+x,-y",3801
5,0.1,20260919,424,certified,2224,"-x,+y",4408
5,0.1,20260919,425,certified,9977,"-x,-y",12336
5,0.1,20260919,426,certified,1112,"-x,-y",3296
5,0.1,20260919,427,certified,270,"+x,-y",2454
5,0.1,20260919,428,certified,1307,"+x,-y",3491
5,0.1,20260919,429,certified,923,"+x,-y",3107
5,0.1,20260919,430,certified,1690,"-x,-y",3874
5,0.1,20260919,431,certified,4103,"-x,-y",6287
5,0.1,20260919,432,certified,744,"-x,-y",2928
5,0.1,20260919,433,certified,4106,"-x,+y",6290
5,0.1,20260919,434,certified,9977,"-x,-y",12336
5,0.1,20260919,435,certified,332,"+x,-y",2516
5,0.1,20260919,436,certified,1159,"+x,+y",3343
5,0.1,20260919,437,certified,9977,"-x,-y",12336
5,0.1,20260919,438,certified,4323,"+x,+y",6507
5,0.1,20260919,439,certified,623,"-x,-y",2807
5,0.1,20260919,440,certified,269,"-x,-y",2453
5,0.1,20260919,441,certified,7659,"-x,+y",9843
5,0.1,20260919,442,certified,4114,"+x,-y",6298
5,0.1,20260919,443,certified,333,"+x,+y",2517
5,0.1,20260919,444,certified,9977,"-x,-y",12336
5,0.1,20260919,445,certified,2474,"-x,-y",4658
5,0.1,20260919,446,certified,14286,"-x,+y",16470
5,0.1,20260919,447,certified,2703,"+x,+y",4887
5,0.1,20260919,448,certified,2801,"+x,+y",4985
5,0.1,20260919,449,certified,2092,"-x,+y",4276
5,0.1,20260919,450,certified,2778,"-x,+y",4962
5,0.1,20260919,451,certified,1301,"+x,+y",3485
5,0.1,20260919,452,certified,11908,"+x,+y",14092
5,0.1,20260919,453,certified,381,"+x,+y",2565
5,0.1,20260919,454,certified,11384,"+x,-y",14159
5,0.1,20260919,455,certified,1301,"+x,+y",3485
5,0.1,20260919,456,certified,4260,"-x,+y",6445
5,0.1,20260919,457,certified,2778,"-x,+y",4962
5,0.1,20260919,458,certified,2657,"-x,-y",4841
5,0.1,20260919,459,certified,9978,"+x,-y",12337
5,0.1,20260919,460,certified,2087,"+x,-y",4271
5,0.1,20260919,461,certified,1090,"+x,+y",3274
5,0.1,20260919,462,certified,276,"-x,-y",2460
5,0.1,20260919,463,certified,799,"+x,-y",2983
5,0.1,20260919,464,certified,310,"-x,+y",2494
5,0.1,20260919,465,certified,9977,"-x,-y",12336
5,0.1,20260919,466,certified,8408,"+x,-y",10592
5,0.1,20260919,467,certified,3451,"-x,-y",5635
5,0.1,20260919,468,certified,46181,"+x,+y",50355
5,0.1,20260919,469,certified,274,"+x,-y",2458
5,0.1,20260919,470,certified,13067,"+x,+y",15251
5,0.1,20260919,471,certified,2703,"+x,+y",4887
5,0.1,20260919,472,certified,310,"-x,+y",2494
5,0.1,20260919,473,certified,1239,"+x,+y",3423
5,0.1,20260919,474,certified,3617,"-x,-y",5801
5,0.1,20260919,475,certified,15402,"+x,-y",17586
5,0.1,20260919,476,certified,1528,"+x,-y",3712
5,0.1,20260919,477,certified,38435,"+x,+y",40620
5,0.1,20260919,478,certified,947,"+x,+y",3131
5,0.1,20260919,479,certified,351,"-x,-y",2535
5,0.1,20260919,480,certified,9977,"-x,-y",12336
5,0.1,20260919,481,certified,505,"-x,+y",2689
5,0.1,20260919,482,certified,301,"+x,+y",2485
5,0.1,20260919,483,certified,1832,"-x,-y",4016
5,0.1,20260919,484,certified,318,"+x,-y",2502
5,0.1,20260919,485,certified,12185,"+x,-y",14370
5,0.1,20260919,486,certified,641,"+x,+y",2825
5,0.1,20260919,487,certified,995,"+x,+y",3179
5,0.1,20260919,488,certified,9977,"-x,-y",12336
5,0.1,20260919,489,certified,1206,"+x,-y",3390
5,0.1,20260919,490,certified,2801,"+x,+y",4985
5,0.1,20260919,491,certified,270,"+x,-y",2454
5,0.1,20260919,492,certified,4604,"+x,-y",6788
5,0.1,20260919,493,certified,1239,"+x,+y",3423
5,0.1,20260919,494,certified,1936,"+x,-y",4120
5,0.1,20260919,495,certified,481,"-x,+y",2665
5,0.1,20260919,496,certified,1255,"-x,+y",3439
5,0.1,20260919,497,certified,532,"-x,+y",2716
5,0.1,20260919,498,certified,30999,"+x,-y",33183
5,0.1,20260919,499,certified,8415,"-x,-y",10599
5,0.1,20260919,500,certified,1241,"+x,+y",3425
5,0.1,20260919,501,certified,406,"-x,+y",2590
5,0.1,20260919,502,certified,301,"-x,-y",2485
